Class,Order,Family,Genus,species,common_name,rl_id,rl_binomial,fishbase_id,fishbase_binomial
Actinopteri,Perciformes,Pholidae,Pholis,laeta,Crescent gunnel,NULL,NULL,3805,Pholis laeta
Actinopteri,Perciformes,Trichodontidae,Trichodon,trichodon,Pacific sandfish,NULL,NULL,3682,Trichodon trichodon
Actinopteri,Perciformes,Hexagrammidae,Hexagrammos,decagrammus,Kelp greenling,NULL,NULL,4032,Hexagrammos decagrammus
Actinopteri,Perciformes,Cottidae,Enophrys,bison,Buffalo sculpin,NULL,NULL,4086,Enophrys bison
Actinopteri,Perciformes,Lumpenidae,Lumpenus,fabricii,Slender eelblenny,NULL,NULL,3786,Lumpenus fabricii
Actinopteri,Perciformes,Hexagrammidae,Hexagrammos,octogrammus,Masked greenling,NULL,NULL,4034,Hexagrammos octogrammus
Actinopteri,Perciformes,Hexagrammidae,Hexagrammos,lagocephalus,Rock greenling,NULL,NULL,4033,Hexagrammos lagocephalus
Actinopteri,Perciformes,Hexagrammidae,Ophiodon,elongatus,Lingcod,NULL,NULL,509,Ophiodon elongatus
Actinopteri,Perciformes,Lumpenidae,Lumpenella,longirostris,Longsnout prickleback,NULL,NULL,3785,Lumpenella longirostris
Actinopteri,Perciformes,Lumpenidae,Leptoclinus,maculatus,Daubed shanny,NULL,NULL,3788,Leptoclinus maculatus
Aves,Passeriformes,Acrocephalidae,Acrocephalus,palustris,Marsh warbler,22714741,Acrocephalus palustris,NULL,NULL
Aves,Passeriformes,Motacillidae,Anthus,campestris,Tawny pipit,22718501,Anthus campestris,NULL,NULL
Aves,Piciformes,Picidae,Dendrocopos,syriacus,Syrian woodpecker,22681127,Dendrocopos syriacus,NULL,NULL
Aves,Passeriformes,Emberizidae,Emberiza,cia,Rock bunting,22720894,Emberiza cia,NULL,NULL
Aves,Passeriformes,Emberizidae,Emberiza,melanocephala,Black-headed bunting,22720990,Emberiza melanocephala,NULL,NULL
Aves,Passeriformes,Alaudidae,Galerida,theklae,Thekla's lark,22717387,Galerida theklae,NULL,NULL
Aves,Passeriformes,Locustellidae,Locustella,fluviatilis,River warbler,22714679,Locustella fluviatilis,NULL,NULL
Aves,Passeriformes,Muscicapidae,Oenanthe,hispanica,Black-eared wheatear,22710302,Oenanthe hispanica,NULL,NULL
Aves,Passeriformes,Passeridae,Petronia,petronia,Rock sparrow,22718307,Petronia petronia,NULL,NULL
Aves,Passeriformes,Corvidae,Pyrrhocorax,pyrrhocorax,Red-billed chough,22705916,Pyrrhocorax pyrrhocorax,NULL,NULL
Aves,Passeriformes,Sylviidae,Sylvia,nisoria,Barred warbler,22716937,Sylvia nisoria,NULL,NULL
Aves,Gaviiformes,Gaviidae,Gavia,adamsii,Yellow-billed loon,22697847,Gavia adamsii,NULL,NULL
Actinopteri,Pleuronectiformes,Pleuronectidae,Microstomus,bathybius,Deepsea sole,NULL,NULL,4236,Embassichthys bathybius
Actinopteri,Pleuronectiformes,Pleuronectidae,Glyptocephalus,stelleri,Blackfin flounder,NULL,NULL,8843,Glyptocephalus stelleri
Actinopteri,Pleuronectiformes,Pleuronectidae,Microstomus,achne,Slime flounder,NULL,NULL,8559,Microstomus achne
Mammalia,Artiodactyla,Suidae,Hylochoerus,meinertzhageni,Forest hog / Giant forest hog / Western forest hog,41769,Hylochoerus meinertzhageni,NULL,NULL
Aves,Bucerotiformes,Bucerotidae,Bucorvus,leadbeateri,Southern ground-hornbill,22682638,Bucorvus leadbeateri,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Raphicerus,melanotis,Cape grysbok,19306,Raphicerus melanotis,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Oryx,gazella,Gemsbok,15573,Oryx gazella,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Pelea,capreolus,Grey rhebok / Common rhebok,16484,Pelea capreolus,NULL,NULL
Aves,Ciconiiformes,Ciconiidae,Ephippiorhynchus,senegalensis,Saddlebill,22697706,Ephippiorhynchus senegalensis,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Kobus,leche,Black lechwe,11033,Kobus leche,NULL,NULL
Mammalia,Primates,Cercopithecidae,Semnopithecus,entellus,Northern Plains gray langur / Bengal hanuman langur,39832,Semnopithecus entellus,NULL,NULL
Aves,Galliformes,Phasianidae,Pavo,cristatus,Indian peafowl,22679435,Pavo cristatus,NULL,NULL
Mammalia,Primates,Lemuridae,Eulemur,cinereiceps,Gray-headed lemur,8205,Eulemur cinereiceps,NULL,NULL
Aves,Strigiformes,Strigidae,Otus,ireneae,Sokoke scops-owl,22688565,Otus ireneae,NULL,NULL
Aves,Sphenisciformes,Spheniscidae,Pygoscelis,antarcticus,Chinstrap penguin,22697761,Pygoscelis antarcticus,NULL,NULL
Aves,Sphenisciformes,Spheniscidae,Eudyptes,chrysolophus,Macaroni penguin,22697793,Eudyptes chrysolophus,NULL,NULL
Aves,Sphenisciformes,Spheniscidae,Eudyptes,moseleyi,Northern rockhopper penguin,22734408,Eudyptes moseleyi,NULL,NULL
Actinopteri,Perciformes,Scaridae,Scarus,rubroviolaceus,Ember parrotfish,190731,Scarus rubroviolaceus,5555,Scarus rubroviolaceus
Actinopteri,Perciformes,Scaridae,Scarus,ghobban,Blue-barred parrotfish,190705,Scarus ghobban,5548,Scarus ghobban
Actinopteri,Perciformes,Scaridae,Hipposcarus,longiceps,Pacific longnose parrotfish,190745,Hipposcarus longiceps,5539,Hipposcarus longiceps
Actinopteri,Perciformes,Scaridae,Chlorurus,microrhinos,Steephead parrotfish,190728,Chlorurus microrhinos,60479,Chlorurus microrhinos
Actinopteri,Perciformes,Scaridae,Cetoscarus,bicolor,Bicolour parrotfish,190690,Cetoscarus bicolor,5538,Cetoscarus bicolor
Actinopteri,Perciformes,Scaridae,Bolbometopon,muricatum,Green humphead parrotfish,63571,Bolbometopon muricatum,5537,Bolbometopon muricatum
