Scientific name,Common name,Overall category,Category triggered by rate of population reduction (Criterion A),Optimistic decline10years,Pessimistic decline10years,Median decline10years,Optimistic category10years,Pessimistic category10years,Median category10years,Revised optimistic category10years,Revised pessimistic category10years,Revised median category10years,Optimistic decline3gens,Pessimistic decline3gens,Median decline3gens,Revised optimistic category3gens,Revised pessimistic category3gens,Revised median category3gens,Optimistic category3gens,Pessimistic category3gens,Median category3gens
Tachuris rubrigastra,Many-colored Rush-tyrant,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Pseudotriccus pelzelni,Bronze-olive Pygmy-tyrant,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Pseudotriccus simplex,Hazel-fronted Pygmy-tyrant,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Pseudotriccus ruficeps,Rufous-headed Pygmy-tyrant,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Corythopis torquatus,Ringed Antpipit,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Corythopis delalandi,Southern Antpipit,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Phylloscartes flavovirens,Yellow-green Tyrannulet,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Phylloscartes ventralis,Mottle-cheeked Tyrannulet,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Phylloscartes virescens,Olive-green Tyrannulet,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Phylloscartes beckeri,Bahia Tyrannulet,EN,LC,0.28,0.47,0.38,NT,VU,VU,EN,EN,EN,0.28,0.47,0.38,NT,VU,VU,EN,EN,EN
Phylloscartes kronei,Restinga Tyrannulet,VU,VU,0.28,0.47,0.38,NT,VU,VU,VU,VU,VU,0.28,0.47,0.38,NT,VU,VU,VU,VU,VU
Phylloscartes gualaquizae,Ecuadorian Tyrannulet,NT,NT,0.23,0.28,0.26,LC,NT,NT,LC,NT,NT,0.23,0.28,0.26,LC,NT,NT,LC,NT,NT
Phylloscartes nigrifrons,Black-fronted Tyrannulet,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Phylloscartes ceciliae,Alagoas Tyrannulet,CR,LC,0.28,0.47,0.38,NT,VU,VU,CR,CR,CR,0.28,0.47,0.38,NT,VU,VU,CR,CR,CR
Phylloscartes superciliaris,Rufous-browed Tyrannulet,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Phylloscartes flaviventris,Rufous-lored Tyrannulet,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Phylloscartes parkeri,Cinnamon-faced Tyrannulet,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Phylloscartes roquettei,Minas Gerais Tyrannulet,EN,EN,0.47,0.78,0.63,VU,EN,EN,VU,EN,EN,0.47,0.78,0.63,VU,EN,EN,VU,EN,EN
Phylloscartes paulista,Sao Paulo Tyrannulet,NT,NT,0.19,0.27,0.23,LC,NT,LC,LC,NT,LC,0.19,0.27,0.23,LC,NT,LC,LC,NT,LC
Phylloscartes oustaleti,Oustalet's Tyrannulet,NT,NT,0.19,0.27,0.23,LC,NT,LC,LC,NT,LC,0.19,0.27,0.23,LC,NT,LC,LC,NT,LC
Phylloscartes difficilis,Serra do Mar Tyrannulet,NT,NT,0.19,0.27,0.23,LC,NT,LC,LC,NT,LC,0.19,0.27,0.23,LC,NT,LC,LC,NT,LC
Phylloscartes sylviolus,Bay-ringed Tyrannulet,NT,NT,0.19,0.27,0.23,LC,NT,LC,LC,NT,LC,0.19,0.27,0.23,LC,NT,LC,LC,NT,LC
Pogonotriccus poecilotis,Variegated Bristle-tyrant,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Pogonotriccus chapmani,Chapman's Bristle-tyrant,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Pogonotriccus ophthalmicus,Marble-faced Bristle-tyrant,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Pogonotriccus venezuelanus,Venezuelan Bristle-tyrant,NT,LC,0.01,0.18,0.09,LC,LC,LC,NT,NT,NT,0.01,0.18,0.09,LC,LC,LC,NT,NT,NT
Pogonotriccus lanyoni,Antioquia Bristle-tyrant,EN,LC,0.28,0.47,0.38,NT,VU,VU,EN,EN,EN,0.28,0.47,0.38,NT,VU,VU,EN,EN,EN
Pogonotriccus orbitalis,Spectacled Bristle-tyrant,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Pogonotriccus eximius,Southern Bristle-tyrant,NT,NT,0.19,0.27,0.23,LC,NT,LC,LC,NT,LC,0.19,0.27,0.23,LC,NT,LC,LC,NT,LC
Mionectes striaticollis,Streak-necked Flycatcher,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Mionectes olivaceus,Olive-streaked Flycatcher,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Mionectes galbinus,Olive-striped Flycatcher,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Mionectes oleagineus,Ochre-bellied Flycatcher,LC,LC,0.01,0.22,0.11,LC,LC,LC,LC,LC,LC,0.01,0.22,0.11,LC,LC,LC,LC,LC,LC
Mionectes macconnelli,McConnell's Flycatcher,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC
Mionectes roraimae,Sierra de Lema Flycatcher,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC
Mionectes rufiventris,Grey-hooded Flycatcher,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC
Leptopogon amaurocephalus,Sepia-capped Flycatcher,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Leptopogon superciliaris,Slaty-capped Flycatcher,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Leptopogon albidiventer,White-bellied Flycatcher,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Leptopogon rufipectus,Rufous-breasted Flycatcher,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Leptopogon taczanowskii,Inca Flycatcher,NT,NT,0.23,0.28,0.26,LC,NT,NT,LC,NT,NT,0.23,0.28,0.26,LC,NT,NT,LC,NT,NT
Taeniotriccus andrei,Black-chested Tyrant,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Cnipodectes subbrunneus,Brownish Twistwing,LC,LC,0.01,0.22,0.11,LC,LC,LC,LC,LC,LC,0.01,0.22,0.11,LC,LC,LC,LC,LC,LC
Cnipodectes superrufus,Rufous Twistwing,VU,LC,0.09,0.18,0.14,LC,LC,LC,VU,VU,VU,0.09,0.18,0.14,LC,LC,LC,VU,VU,VU
Rhynchocyclus brevirostris,Eye-ringed Flatbill,LC,LC,0.01,0.17,0.09,LC,LC,LC,LC,LC,LC,0.01,0.17,0.09,LC,LC,LC,LC,LC,LC
Rhynchocyclus aequinoctialis,Western Olivaceous Flatbill,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Rhynchocyclus olivaceus,Eastern Olivaceous Flatbill,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Rhynchocyclus pacificus,Pacific Flatbill,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Rhynchocyclus fulvipectus,Fulvous-breasted Flatbill,LC,LC,0.01,0.23,0.12,LC,LC,LC,LC,LC,LC,0.01,0.23,0.12,LC,LC,LC,LC,LC,LC
Tolmomyias sulphurescens,Yellow-olive Flatbill,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Tolmomyias traylori,Orange-eyed Flatbill,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Tolmomyias assimilis,Yellow-margined Flatbill,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Tolmomyias flavotectus,Yellow-winged Flatbill,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Tolmomyias poliocephalus,Grey-crowned Flatbill,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Tolmomyias viridiceps,Olive-faced Flatbill,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Tolmomyias flaviventris,Ochre-lored Flatbill,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Myiornis auricularis,Eared Pygmy-tyrant,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Myiornis albiventris,White-bellied Pygmy-tyrant,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Myiornis atricapillus,Black-capped Pygmy-tyrant,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Myiornis ecaudatus,Short-tailed Pygmy-tyrant,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Oncostoma cinereigulare,Northern Bentbill,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Oncostoma olivaceum,Southern Bentbill,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Lophotriccus pileatus,Scale-crested Pygmy-tyrant,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Lophotriccus vitiosus,Double-banded Pygmy-tyrant,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Lophotriccus eulophotes,Long-crested Pygmy-tyrant,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Lophotriccus galeatus,Helmeted Pygmy-tyrant,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Atalotriccus pilaris,Pale-eyed Pygmy-tyrant,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Hemitriccus minor,Snethlage's Tody-tyrant,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Hemitriccus cohnhafti,Acre Tody-tyrant,NT,LC,0.01,0.24,0.13,LC,LC,LC,NT,LC,NT,0.01,0.24,0.13,LC,LC,LC,NT,LC,NT
Hemitriccus spodiops,Yungas Tody-tyrant,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Hemitriccus flammulatus,Flammulated Bamboo-tyrant,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Hemitriccus diops,Drab-breasted Bamboo-tyrant,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Hemitriccus obsoletus,Brown-breasted Bamboo-tyrant,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Hemitriccus josephinae,Boat-billed Tody-tyrant,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Hemitriccus zosterops,White-eyed Tody-tyrant,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Hemitriccus griseipectus,White-bellied Tody-tyrant,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Hemitriccus orbitatus,Eye-ringed Tody-tyrant,NT,NT,0.19,0.27,0.23,LC,NT,LC,LC,NT,LC,0.19,0.27,0.23,LC,NT,LC,LC,NT,LC
Hemitriccus iohannis,Joao's Tody-tyrant,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Hemitriccus striaticollis,Stripe-necked Tody-tyrant,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Hemitriccus nidipendulus,Hangnest Tody-tyrant,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Hemitriccus margaritaceiventer,Pearly-vented Tody-tyrant,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Hemitriccus inornatus,Pelzeln's Tody-tyrant,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Hemitriccus minimus,Zimmer's Tody-tyrant,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Hemitriccus granadensis,Black-throated Tody-tyrant,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Hemitriccus cinnamomeipectus,Cinnamon-breasted Tody-tyrant,VU,LC,0.01,0.24,0.12,LC,LC,LC,VU,VU,VU,0.01,0.24,0.12,LC,LC,LC,VU,VU,VU
Hemitriccus mirandae,Buff-breasted Tody-tyrant,VU,LC,0.28,0.47,0.38,NT,VU,VU,VU,VU,VU,0.28,0.47,0.38,NT,VU,VU,VU,VU,VU
Hemitriccus kaempferi,Kaempfer's Tody-tyrant,VU,LC,0.01,0.08,0.05,LC,LC,LC,VU,VU,VU,0.01,0.08,0.05,LC,LC,LC,VU,VU,VU
Hemitriccus rufigularis,Buff-throated Tody-tyrant,NT,LC,0.01,0.24,0.12,LC,LC,LC,NT,LC,NT,0.01,0.24,0.12,LC,LC,LC,NT,LC,NT
Hemitriccus furcatus,Fork-tailed Tody-tyrant,VU,VU,0.28,0.47,0.38,NT,VU,VU,VU,VU,VU,0.28,0.47,0.38,NT,VU,VU,VU,VU,VU
Poecilotriccus ruficeps,Rufous-crowned Tody-flycatcher,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Poecilotriccus luluae,Lulu's Tody-flycatcher,EN,EN,0.47,0.78,0.63,VU,EN,EN,VU,EN,EN,0.47,0.78,0.63,VU,EN,EN,VU,EN,EN
Poecilotriccus albifacies,White-cheeked Tody-flycatcher,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Poecilotriccus capitalis,Black-and-white Tody-flycatcher,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Poecilotriccus senex,Buff-cheeked Tody-flycatcher,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Poecilotriccus russatus,Ruddy Tody-flycatcher,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Poecilotriccus plumbeiceps,Ochre-faced Tody-flycatcher,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Poecilotriccus fumifrons,Smoky-fronted Tody-flycatcher,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Poecilotriccus latirostris,Rusty-fronted Tody-flycatcher,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Poecilotriccus sylvia,Slate-headed Tody-flycatcher,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Poecilotriccus calopterus,Golden-winged Tody-flycatcher,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Poecilotriccus pulchellus,Black-backed Tody-flycatcher,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Todirostrum maculatum,Spotted Tody-flycatcher,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Todirostrum poliocephalum,Yellow-lored Tody-flycatcher,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Todirostrum cinereum,Common Tody-flycatcher,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Todirostrum viridanum,Maracaibo Tody-flycatcher,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Todirostrum nigriceps,Black-headed Tody-flycatcher,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Todirostrum pictum,Painted Tody-flycatcher,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Todirostrum chrysocrotaphum,Yellow-browed Tody-flycatcher,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Myiotriccus phoenicurus,Eastern Ornate Flycatcher,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Myiotriccus ornatus,Western Ornate Flycatcher,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Nephelomyias pulcher,Handsome Flycatcher,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Nephelomyias lintoni,Orange-banded Flycatcher,NT,NT,0.19,0.27,0.23,LC,NT,LC,NT,NT,LC,0.19,0.27,0.23,LC,NT,LC,NT,NT,LC
Nephelomyias ochraceiventris,Ochraceous-breasted Flycatcher,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Pyrrhomyias cinnamomeus,Cinnamon Flycatcher,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Hirundinea bellicosa,Swallow Flycatcher,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Hirundinea ferruginea,Cliff Flycatcher,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Zimmerius cinereicapilla,Red-billed Tyrannulet,VU,VU,0.28,0.47,0.38,NT,VU,VU,NT,VU,VU,0.28,0.47,0.38,NT,VU,VU,NT,VU,VU
Zimmerius villarejoi,Mishana Tyrannulet,VU,LC,0.01,0.24,0.12,LC,LC,LC,VU,VU,VU,0.01,0.24,0.12,LC,LC,LC,VU,VU,VU
Zimmerius chicomendesi,Chico's Tyrannulet,NT,LC,0.01,0.24,0.13,LC,LC,LC,NT,LC,NT,0.01,0.24,0.13,LC,LC,LC,NT,LC,NT
Zimmerius vilissimus,Paltry Tyrannulet,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Zimmerius parvus,Mistletoe Tyrannulet,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Zimmerius petersi,Venezuelan Tyrannulet,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Zimmerius improbus,Mountain Tyrannulet,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Zimmerius chrysops,Golden-faced Tyrannulet,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Zimmerius albigularis,Choco Tyrannulet,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Zimmerius viridiflavus,Peruvian Tyrannulet,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Zimmerius gracilipes,Slender-footed Tyrannulet,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Zimmerius acer,Guianan Tyrannulet,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Zimmerius bolivianus,Bolivian Tyrannulet,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Stigmatura napensis,Lesser Wagtail-tyrant,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Stigmatura bahiae,Bahia Wagtail-tyrant,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Stigmatura budytoides,Greater Wagtail-tyrant,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Inezia tenuirostris,Slender-billed Tyrannulet,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Inezia inornata,Plain Tyrannulet,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Inezia subflava,Amazonian Tyrannulet,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Inezia caudata,Pale-tipped Tyrannulet,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Euscarthmus meloryphus,Tawny-crowned Pygmy-tyrant,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Euscarthmus fulviceps,Tawny-fronted Pygmy-tyrant,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Euscarthmus rufomarginatus,Rufous-sided Pygmy-tyrant,NT,NT,0.19,0.27,0.23,LC,NT,LC,LC,NT,LC,0.19,0.27,0.23,LC,NT,LC,LC,NT,LC
Ornithion semiflavum,Yellow-bellied Tyrannulet,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ornithion brunneicapillus,Brown-capped Tyrannulet,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ornithion inerme,White-lored Tyrannulet,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Camptostoma imberbe,Northern Beardless Tyrannulet,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Camptostoma obsoletum,Southern Beardless Tyrannulet,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Elaenia ruficeps,Rufous-crowned Elaenia,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Elaenia cristata,Plain-crested Elaenia,LC,LC,0.01,0.15,0.07,LC,LC,LC,LC,LC,LC,0.01,0.15,0.07,LC,LC,LC,LC,LC,LC
Elaenia gigas,Mottle-backed Elaenia,LC,LC,0.01,0.19,0.1,LC,LC,LC,LC,LC,LC,0.01,0.19,0.1,LC,LC,LC,LC,LC,LC
Elaenia dayi,Great Elaenia,LC,LC,0.01,0.19,0.1,LC,LC,LC,LC,LC,LC,0.01,0.19,0.1,LC,LC,LC,LC,LC,LC
Elaenia sordida,Brazilian Elaenia,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Elaenia obscura,Highland Elaenia,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Elaenia strepera,Slaty Elaenia,LC,LC,0.01,0.19,0.1,LC,LC,LC,LC,LC,LC,0.01,0.19,0.1,LC,LC,LC,LC,LC,LC
Elaenia flavogaster,Yellow-bellied Elaenia,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Elaenia parvirostris,Small-billed Elaenia,LC,LC,0.01,0.19,0.1,LC,LC,LC,LC,LC,LC,0.01,0.19,0.1,LC,LC,LC,LC,LC,LC
Elaenia pelzelni,Brownish Elaenia,LC,LC,0.01,0.19,0.1,LC,LC,LC,LC,LC,LC,0.01,0.19,0.1,LC,LC,LC,LC,LC,LC
Elaenia spectabilis,Large Elaenia,LC,LC,0.01,0.19,0.1,LC,LC,LC,LC,LC,LC,0.01,0.2,0.1,LC,LC,LC,LC,LC,LC
Elaenia ridleyana,Noronha Elaenia,VU,LC,0,0,0,LC,LC,LC,VU,VU,VU,0,0,0,LC,LC,LC,VU,VU,VU
Elaenia brachyptera,Coopman's Elaenia,LC,LC,0.01,0.15,0.07,LC,LC,LC,LC,LC,LC,0.01,0.15,0.08,LC,LC,LC,LC,LC,LC
