Scientific name,Common name,Overall category,Category triggered by rate of population reduction (Criterion A),Optimistic decline10years,Pessimistic decline10years,Median decline10years,Optimistic category10years,Pessimistic category10years,Median category10years,Revised optimistic category10years,Revised pessimistic category10years,Revised median category10years,Optimistic decline3gens,Pessimistic decline3gens,Median decline3gens,Revised optimistic category3gens,Revised pessimistic category3gens,Revised median category3gens,Optimistic category3gens,Pessimistic category3gens,Median category3gens
Euplectes hartlaubi,Marsh Widowbird,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Euplectes jacksoni,Jackson's Widowbird,NT,NT,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Euplectes psammacromius,Montane Widowbird,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Euplectes progne,Long-tailed Widowbird,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Foudia madagascariensis,Red Fody,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Foudia aldabrana,Aldabra Fody,EN,LC,0,0,0,LC,LC,LC,EN,EN,EN,0,0,0,LC,LC,LC,EN,EN,EN
Foudia consobrina,Grand Comoro Fody,NT,LC,0.01,0.18,0.09,LC,LC,LC,NT,NT,NT,0.01,0.18,0.09,LC,LC,LC,NT,NT,NT
Foudia eminentissima,Red-headed Fody,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Foudia omissa,Forest Fody,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Foudia delloni,Reunion Fody,EX,LC,0,0,0,EX,EX,EX,EX,EX,EX,0,0,0,LC,LC,LC,EX,EX,EX
Foudia rubra,Mauritius Fody,EN,LC,0,0,0,LC,LC,LC,EN,EN,EN,0,0,0,LC,LC,LC,EN,EN,EN
Foudia sechellarum,Seychelles Fody,NT,LC,-0.17,-0.01,-0.09,LC,LC,LC,NT,NT,NT,-0.17,-0.01,-0.09,LC,LC,LC,NT,NT,NT
Foudia flavicans,Rodrigues Fody,NT,LC,0,0,0,LC,LC,LC,NT,NT,NT,0,0,0,LC,LC,LC,NT,NT,NT
Brachycope anomala,Bob-tailed Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus baglafecht,Baglafecht Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus bannermani,Bannerman's Weaver,VU,LC,0.01,0.16,0.08,LC,LC,LC,VU,VU,VU,0.01,0.16,0.08,LC,LC,LC,VU,VU,VU
Ploceus batesi,Bates's Weaver,EN,LC,0.01,0.16,0.08,LC,LC,LC,EN,EN,EN,0.01,0.16,0.08,LC,LC,LC,EN,EN,EN
Ploceus nigrimentus,Black-chinned Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus bertrandi,Bertram's Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus pelzelni,Slender-billed Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus subpersonatus,Loango Weaver,VU,LC,0.01,0.16,0.08,LC,LC,LC,VU,VU,VU,0.01,0.16,0.08,LC,LC,LC,VU,VU,VU
Ploceus luteolus,Little Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus ocularis,Spectacled Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus brachypterus,Olive-naped Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus nigricollis,Black-necked Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus alienus,Strange Weaver,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC
Ploceus melanogaster,Black-billed Weaver,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC
Ploceus capensis,Cape Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus temporalis,Bocage's Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus subaureus,African Golden Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus xanthops,Holub's Golden Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus aurantius,Orange Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus heuglini,Heuglin's Masked Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus bojeri,Golden Palm Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus castaneiceps,Taveta Golden Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus princeps,Principe Golden Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus castanops,Northern Brown-throated Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus xanthopterus,Southern Brown-throated Weaver,LC,LC,0.01,0.14,0.07,LC,LC,LC,LC,LC,LC,0.01,0.14,0.07,LC,LC,LC,LC,LC,LC
Ploceus burnieri,Kilombero Weaver,VU,LC,0.01,0.16,0.08,LC,LC,LC,VU,VU,VU,0.01,0.16,0.08,LC,LC,LC,VU,VU,VU
Ploceus galbula,RÌ_ppell's Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus taeniopterus,Northern Masked Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus intermedius,Lesser Masked Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ploceus velatus,Southern Masked Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
