"","Scientific_Name","Common_Name","Class","PresentInLPI","PresentInRL","Population_Trend","IUCN_Category","IUCN_Criteria","Generation_Length_Days","Generation_Length_Years","PercentDecrease10YMin","PercentDecreaseMin","PercentDecrease3GMin","PercentDecrease10YMid","PercentDecreaseMid","PercentDecrease3GMid","PercentDecrease10YMax","PercentDecreaseMax","PercentDecrease3GMax"
"73","Dobsonia chapmani","Philippine Bare-backed Fruit Bat","mammalia",FALSE,TRUE,"Decreasing","CR","A2cd",2190,5.9958932238193,14.8660077479215,8.55883804493366,8.55883804493366,20.1786754970349,11.776479855602,11.776479855602,36.9042655519807,22.5871983362855,22.5871983362855
"74","Dugong dugon","Dugong","mammalia",TRUE,TRUE,"Decreasing","VU","A2bcd+4bcd",10246.2396,28.0526751540041,3.50389048801824,0.422918891422419,0.422918891422419,4.90109037786124,0.595343639257095,0.595343639257095,6.51175273797047,0.796903230133739,0.796903230133739
"75","Eidolon dupreanum","Madagascan Fruit Bat","mammalia",FALSE,TRUE,"Decreasing","VU","A2ad",2190,5.9958932238193,3.50389048801824,1.96335481659702,1.96335481659702,4.90109037786124,2.75506418670095,2.75506418670095,6.51175273797047,3.6741674786795,3.6741674786795
"76","Elephas maximus","Asian Elephant","mammalia",TRUE,TRUE,"Decreasing","EN","A2c",8030,21.9849418206708,6.69670084631926,1.04543922776957,1.04543922776957,9.8381456326306,1.55795875018577,1.55795875018577,14.449622653224,2.33846151686983,2.33846151686983
"77","Emballonura serii","Seri's Sheath-tailed Bat","mammalia",FALSE,TRUE,"Decreasing","VU","A2c",894.25,2.44832306639288,3.50389048801824,3.50389048801824,4.74002385805866,4.90109037786124,4.90109037786124,6.61298027302462,6.51175273797047,6.51175273797047,8.75976851277533
"78","Enhydra lutris","Sea Otter","mammalia",TRUE,TRUE,"Decreasing","EN","A2abe",5475,14.9897330595483,6.69670084631926,1.52956359339727,1.52956359339727,9.8381456326306,2.27667648263158,2.27667648263158,14.449622653224,3.41095096512041,3.41095096512041
"79","Equus grevyi","Grevy's Zebra","mammalia",TRUE,TRUE,"Stable","EN","A2acd",2190,5.9958932238193,6.69670084631926,3.78015418708458,3.78015418708458,9.8381456326306,5.59487498554474,5.59487498554474,14.449622653224,8.31047441508587,8.31047441508587
"80","Eudorcas rufifrons","Red-fronted Gazelle","mammalia",TRUE,TRUE,"Decreasing","VU","A2cd",1825,4.99657768651609,3.50389048801824,2.35137563054822,2.35137563054822,4.90109037786124,3.29690080862926,3.29690080862926,6.51175273797047,4.39264016869589,4.39264016869589
"81","Eulemur albifrons","White-fronted Lemur","mammalia",FALSE,TRUE,"Decreasing","EN","A2cde",2920,7.99452429842574,6.69670084631926,2.84872771102431,2.84872771102431,9.8381456326306,4.22620891478137,4.22620891478137,14.449622653224,6.29995612976448,6.29995612976448
"82","Eulemur collaris","Collared Brown Lemur","mammalia",FALSE,TRUE,"Decreasing","EN","A2cd+3cd+4cd",2920,7.99452429842574,6.69670084631926,2.84872771102431,2.84872771102431,9.8381456326306,4.22620891478137,4.22620891478137,14.449622653224,6.29995612976448,6.29995612976448
"83","Eulemur rubriventer","Red-bellied Lemur","mammalia",FALSE,TRUE,"Decreasing","VU","A2cd",2920,7.99452429842574,3.50389048801824,1.47615984620982,1.47615984620982,4.90109037786124,2.0734970965063,2.0734970965063,6.51175273797047,2.76847924676236,2.76847924676236
"84","Eupetaurus cinereus","Woolly Flying Squirrel","mammalia",FALSE,TRUE,"Unknown","EN","A2c+3c; C1",2015.755102,5.51883669267625,6.69670084631926,4.1001277979106,4.1001277979106,9.8381456326306,6.0635483051015,6.0635483051015,14.449622653224,8.99555904121216,8.99555904121216
"85","Eupleres goudotii","Eastern Falanouc","mammalia",FALSE,TRUE,"Decreasing","VU","A2cde+3cde+4cde",2894.45,7.92457221081451,3.50389048801824,1.48909276045665,1.48909276045665,4.90109037786124,2.09160759065771,2.09160759065771,6.51175273797047,2.79257284072774,2.79257284072774
"86","Galemys pyrenaicus","Pyrenean Desman","mammalia",FALSE,TRUE,"Decreasing","VU","A2ac+3c+4ac",730,1.99863107460643,3.50389048801824,3.50389048801824,5.77517841229603,4.90109037786124,4.90109037786124,8.03957239796208,6.51175273797047,6.51175273797047,10.6224771810323
"87","Gazella dorcas","Dorcas Gazelle","mammalia",TRUE,TRUE,"Decreasing","VU","A2cd",2190,5.9958932238193,3.50389048801824,1.96335481659702,1.96335481659702,4.90109037786124,2.75506418670095,2.75506418670095,6.51175273797047,3.6741674786795,3.6741674786795
"88","Gazella gazella","Mountain Gazelle","mammalia",TRUE,TRUE,"Decreasing","EN","A2acd",2190,5.9958932238193,6.69670084631926,3.78015418708458,3.78015418708458,9.8381456326306,5.59487498554474,5.59487498554474,14.449622653224,8.31047441508587,8.31047441508587
"89","Gazella spekei","Speke's Gazelle","mammalia",FALSE,TRUE,"Decreasing","EN","A2cd",2190,5.9958932238193,6.69670084631926,3.78015418708458,3.78015418708458,9.8381456326306,5.59487498554474,5.59487498554474,14.449622653224,8.31047441508587,8.31047441508587
"90","Gazella subgutturosa","Goitered Gazelle","mammalia",FALSE,TRUE,"Decreasing","VU","A2acd",2496.146667,6.83407711704312,3.50389048801824,1.72464321046997,1.72464321046997,4.90109037786124,2.42128843239936,2.42128843239936,6.51175273797047,3.23090420360819,3.23090420360819
"91","Giraffa camelopardalis","Giraffe","mammalia",TRUE,TRUE,"Decreasing","VU","A2acd",5251.011667,14.3764864257358,3.50389048801824,0.823576691323413,0.823576691323413,4.90109037786124,1.15839741153954,1.15839741153954,6.51175273797047,1.5490934175895,1.5490934175895
