"","Scientific_Name","Class","Common_Name"
"4096","Rhinolophus euryale","mammalia","Mediterranean horseshoe bat"
"4097","Rhinolophus ferrumequinum","mammalia","Greater horseshoe bat"
"4098","Rhinolophus hipposideros","mammalia","Lesser horseshoe bat"
"4099","Rhinolophus mehelyi","mammalia","Mehely's horseshoe bat"
"4100","Rhinophrynus dorsalis","amphibia","Burrowing toad"
"4101","Rhinopithecus avunculus","mammalia","Tonkin snub-nosed monkey"
"4102","Rhinopithecus brelichi","mammalia","Grey snub-nosed monkey"
"4103","Rhinoplax vigil","aves","Helmeted hornbill"
"4104","Bathyraja murrayi","chondrichthyes","Murray's skate"
"4105","Rhipidura fuliginosa","aves","New Zealand fantail"
"4106","Rhipidura rufifrons","aves","Rufous fantail"
"4107","Rhizoprionodon terraenovae","chondrichthyes","Atlantic sharpnose shark"
"4108","Rhodeus amarus","actinopterygii","European bitterling"
"4109","Rhodeus sericeus","actinopterygii","Bitterling"
"4110","Rhodostethia rosea","aves","Ross's gull"
"4111","Rhomboplites aurorubens","actinopterygii","Vermilion snapper"
"4112","Rhyacotriton variegatus","amphibia","Southern torrent salamander"
"4113","Rhynchocyclus brevirostris","aves","Eye-ringed flatbill"
"4114","Rhynchoedura ornata","reptilia","Western beaked gecko"
"4115","Rhynchophanes mccownii","aves","Mccown's longspur"
"4116","Rhynchotus rufescens","aves","Red-winged tinamou"
"4117","Rhyticeros undulatus","aves","Wreathed hornbill"
"4118","Riparia riparia","aves","Collared sand martin"
"4119","Rissa brevirostris","aves","Red-legged kittiwake"
"4120","Rissa tridactyla","aves","Black-legged kittiwake"
"4121","Roeboides paranensis","actinopterygii","Parana scale-eating characin"
"4122","Rollandia rolland","aves","White-tufted grebe"
"4123","Rollulus rouloul","aves","Crested partridge"
"4124","Romanogobio albipinnatus","actinopterygii","White-finned gudgeon"
"4125","Rostratula benghalensis","aves","Greater painted-snipe"
"4126","Rostroraja eglanteria","chondrichthyes","Clearnose skate"
"4127","Rucervus duvaucelii","mammalia","Swamp deer"
"4128","Rucervus eldii","mammalia","Hainan eld's deer"
"4129","Rupicapra pyrenaica","mammalia","Pyrenean chamois"
"4130","Rupicapra rupicapra","mammalia","Tatra chamois / Alpine chamois"
"4131","Rupornis magnirostris","aves","Roadside hawk"
"4132","Rusa unicolor","mammalia","Sambar"
"4133","Rutilus aula","actinopterygii","No common name"
"4134","Rutilus ohridanus","actinopterygii","No common name"
"4135","Rutilus rutilus","actinopterygii","Roach"
"4136","Rynchops niger","aves","Black skimmer"
"4137","Rypticus saponaceus","actinopterygii","Greater soapfish "
"4138","Saccostomus campestris","mammalia","Puched mouse"
"4139","Saccostomus mearnsi","mammalia","East African pouched mouse"
"4140","Sachatamia albomaculata","amphibia","White-spotted cochran frog"
"4141","Sachatamia ilex","amphibia","Limon giant glass frog"
"4142","Sagamichthys abei","actinopterygii","Shining tubeshoulder"
"4143","Sagittarius serpentarius","aves","Secretarybird"
"4144","Saguinus fuscicollis","mammalia","Saddle-back tamarin"
"4145","Saiga tatarica","mammalia","Saiga antelope"
"4146","Saiga tatarica ssp. mongolica","mammalia","Mongolian saiga"
"4147","Saimiri boliviensis","mammalia","Peruvian squirrel monkey"
"4148","Saimiri oerstedii","mammalia","Black-crowned Central American squirrel monkey"
"4149","Salamandra salamandra","amphibia","Common fire salamander"
"4150","Salamandrella keyserlingii","amphibia","Siberian salamander"
"4151","Salaria fluviatilis","actinopterygii","Freshwater blenny"
"4152","Salmo marmoratus","actinopterygii","Marbled trout"
"4153","Salmo salar","actinopterygii","Atlantic salmon"
"4154","Salmo trutta","actinopterygii","Brown trout / Sea trout"
"4155","Salpinctes obsoletus","aves","Rock wren"
"4156","Saltator fuliginosus","aves","Black-throated grosbeak"
"4157","Saltator similis","aves","Green-winged saltator"
"4158","Salvelinus alpinus","actinopterygii","Arctic char"
"4159","Salvelinus confluentus","actinopterygii","Bull trout"
"4160","Salvelinus fontinalis","actinopterygii","Brook trout / Freshwater brook trout"
"4161","Salvelinus malma","actinopterygii","Dolly varden"
"4162","Salvelinus namaycush","actinopterygii","Lake trout"
"4163","Sander lucioperca","actinopterygii","Pikeperch / Zander"
"4164","Sander vitreus","actinopterygii","Walleye"
"4165","Sapajus apella","mammalia","Tufted capuchin / Margarita Island capuchin"
"4166","Sarcogyps calvus","aves","Red-headed vulture"
"4167","Sarcophilus harrisii","mammalia","Tasmanian devil"
"4168","Sardina pilchardus","actinopterygii","European pilchard"
"4169","Sardinella albella","actinopterygii","White sardinella"
"4170","Sardinella aurita","actinopterygii","Round sardinella"
"4171","Sardinella brasiliensis","actinopterygii","Brazilian sardinella"
"4172","Sardinella lemuru","actinopterygii","Bali sardinella"
"4173","Sardinops sagax","actinopterygii","Pacific sardine / South American pilchard"
"4174","Sargocentron coruscum","actinopterygii","Reef squirrelfish"
"4175","Sargocentron vexillarium","actinopterygii","Dusky squirrelfish "
"4176","Sargochromis codringtonii","actinopterygii","Green happy"
"4177","Sarkidiornis melanotos","aves","African comb duck"
"4178","Sarpa salpa","actinopterygii","Salema"
"4179","Satanoperca jurupari","actinopterygii","Demon eartheater"
"4180","Satrapa icterophrys","aves","Yellow-browed tyrant"
"4181","Saundersilarus saundersi","aves","Saunders's gull"
"4182","Sauromalus ater","reptilia","Northern chuckwalla"
"4183","Saxicola rubetra","aves","Whinchat"
"4184","Saxicola torquatus","aves","Common stonechat"
"4185","Sayornis nigricans","aves","Black phoebe"
"4186","Sayornis phoebe","aves","Eastern phoebe"
"4187","Sayornis saya","aves","Say's phoebe"
"4188","Scapanus orarius","mammalia","Coast mole"
"4189","Scaphiopus holbrookii","amphibia","Eastern spadefoot"
"4190","Scaphirhynchus albus","actinopterygii","Pallid sturgeon"
"4191","Scardinius erythrophthalmus","actinopterygii","Rudd"
"4192","Scartella cristata","actinopterygii","Molly miller"
"4193","Scarthyla goinorum","amphibia","Tarauaca snouted treefrog"
"4194","Scarus altipinnis","actinopterygii","Filament-finned parrotfish"
"4195","Scarus chameleon","actinopterygii","Chameleon parrotfish"
"4196","Scarus coelestinus","actinopterygii","Midnight parrotfish"
"4197","Scarus coeruleus","actinopterygii","Blue parrotfish"
"4198","Scarus dimidiatus","actinopterygii","Yellowbarred parrotfish"
"4199","Scarus dubius","actinopterygii","Regal parrotfish"
"4200","Scarus flavipectoralis","actinopterygii","Yellowfin parrotfish"
"4201","Scarus frenatus","actinopterygii","Bridled parrotfish"
"4202","Scarus ghobban","actinopterygii","Blue-barred parrotfish"
"4203","Scarus globiceps","actinopterygii","Globehead parrotfish"
"4204","Scarus guacamaia","actinopterygii","Rainbow parrotfish"
"4205","Scarus iseri","actinopterygii","Striped parrotfish"
"4206","Scarus niger","actinopterygii","Dusky parrotfish"
"4207","Scarus psittacus","actinopterygii","Common parrotfish"
"4208","Scarus rivulatus","actinopterygii","Rivulated parrotfish"
"4209","Scarus rubroviolaceus","actinopterygii","Ember parrotfish"
"4210","Scarus schlegeli","actinopterygii","Yellowband parrotfish"
"4211","Scarus spinus","actinopterygii","Greensnout parrotfish"
"4212","Scarus taeniopterus","actinopterygii","Princess parrotfish"
"4213","Scarus trispinosus","actinopterygii","Greenbeak parrotfish"
"4214","Scarus vetula","actinopterygii","Queen parrotfish"
"4215","Scatophagus argus","actinopterygii","Spotted scat"
"4216","Scatophagus tetracanthus","actinopterygii","Spotbanded scat"
"4217","Sceloporus bicanthalis","reptilia","Trans volcanic bunchgrass lizard"
"4218","Sceloporus magister","reptilia","Desert spiny lizard"
"4219","Sceloporus scalaris","reptilia","Bunch grass lizard"
"4220","Schiffornis turdina","aves","Brown-winged mourner"
"4221","Schilbe intermedius","actinopterygii","Silver catfish"
"4222","Schilbe mandibularis","actinopterygii","No common name"
"4223","Schilbe mystus","actinopterygii","African butter catfish"
"4224","Schizodon borellii","actinopterygii","No common name"
"4225","Schroederichthys chilensis","chondrichthyes","Redspotted catshark"
"4226","Sciaena umbra","actinopterygii","Brown meagre"
"4227","Scinax ictericus","amphibia","No common name"
"4228","Scinax pedromedinae","amphibia","Henle's snouted treefrog"
"4229","Scinax staufferi","amphibia","Stauffer's treefrog"
"4230","Sciurus granatensis","mammalia","Red-tailed squirrel"
"4231","Sciurus igniventris","mammalia","Northern Amazon red squirrel"
"4232","Sciurus spadiceus","mammalia","Southern Amazon red squirrel"
"4233","Sciurus variegatoides","mammalia","Variegated squirrel"
"4234","Sciurus vulgaris","mammalia","Eurasian red squirrel"
"4235","Scolopax minor","aves","American woodcock"
"4236","Scolopax rusticola","aves","Eurasian woodcock"
"4237","Scolopsis vosmeri","actinopterygii","Whitecheek monocle bream"
"4238","Scomber australasicus","actinopterygii","Blue mackerel"
"4239","Scomber japonicus","actinopterygii","Chub mackerel"
"4240","Scomber scombrus","actinopterygii","Atlantic mackerel"
"4241","Scomberesox saurus","actinopterygii","Atlantic saury"
"4242","Scomberoides commersonnianus","actinopterygii","Talang queenfish"
"4243","Scomberoides lysan","actinopterygii","Doublespotted queenfish"
"4244","Scomberoides tala","actinopterygii","Barred queenfish"
"4245","Scomberomorus cavalla","actinopterygii","King mackerel"
"4246","Scomberomorus commerson","actinopterygii","Narrow-barred Spanish mackerel"
"4247","Scomberomorus maculatus","actinopterygii","Atlantic Spanish mackerel"
"4248","Scomberomorus niphonius","actinopterygii","Japanese Spanish mackerel / Japanese seerfish"
"4249","Scomberomorus regalis","actinopterygii","Cero"
"4250","Scomberomorus semifasciatus","actinopterygii","Broad-barred king mackerel"
"4251","Scophthalmus aquosus","actinopterygii","Windowpane flounder"
"4252","Scophthalmus rhombus","actinopterygii","Flounder / brill"
"4253","Scorpaena guttata","actinopterygii","California scorpionfish"
"4254","Scorpaena maderensis","actinopterygii","Madeira rockfish"
"4255","Scorpaena plumieri","actinopterygii","Spotted scorpionfish "
"4256","Scorpaena scrofa","actinopterygii","Red scorpionfish"
"4257","Scortum ogilbyi","actinopterygii","Leathery grunter"
"4258","Scyliorhinus canicula","chondrichthyes","Lesser spotted dogfish"
"4259","Scyliorhinus capensis","chondrichthyes","Yellowspotted catshark"
"4260","Scyliorhinus retifer","chondrichthyes","Chain catshark"
"4261","Sebastes alutus","actinopterygii","Pacific ocean perch"
"4262","Sebastes babcocki","actinopterygii","Redbanded rockfish"
"4263","Sebastes borealis","actinopterygii","Shortraker rockfish"
"4264","Sebastes brevispinis","actinopterygii","Silvergray rockfish"
"4265","Sebastes caurinus","actinopterygii","Copper rockfish"
"4266","Sebastes crameri","actinopterygii","Darkblotched rockfish"
"4267","Sebastes elongatus","actinopterygii","Greenstriped rockfish"
"4268","Sebastes entomelas","actinopterygii","Widow rockfish"
"4269","Sebastes fasciatus","actinopterygii","Acadian redfish"
"4270","Sebastes flavidus","actinopterygii","Yellowtail rockfish"
"4271","Sebastes maliger","actinopterygii","Quillback rockfish"
"4272","Sebastes mentella","actinopterygii","Beaked redfish"
"4273","Sebastes norvegicus","actinopterygii","Golden redfish"
"4274","Sebastes paucispinus","actinopterygii","Bocaccio rockfish"
"4275","Sebastes pinniger","actinopterygii","Canary rockfish"
"4276","Sebastes polyspinis","actinopterygii","Northern rockfish"
"4277","Sebastes proriger","actinopterygii","Redstripe rockfish"
"4278","Sebastes reedi","actinopterygii","Yellowmouth rockfish"
"4279","Sebastes ruberrimus","actinopterygii","Yelloweye rockfish"
"4280","Sebastes wilsoni","actinopterygii","Pygmy rockfish"
"4281","Sebastolobus alascanus","actinopterygii","Shortspine thornyhead"
"4282","Sebastolobus altivelis","actinopterygii","Longspine thornyhead"
"4283","Sechellophryne gardineri","amphibia","Gardiner's Seychelles frog"
"4284","Seiurus aurocapilla","aves","Ovenbird"
"4285","Selar crumenophthalmus","actinopterygii","Bigeye scad"
"4286","Selaroides leptolepis","actinopterygii","Yellowstripe scad"
"4287","Selasphorus calliope","aves","Calliope hummingbird"
"4288","Selasphorus platycercus","aves","Broad-tailed hummingbird"
"4289","Selasphorus rufus","aves","Rufous hummingbird"
"4290","Selasphorus sasin","aves","Allen's hummingbird"
"4291","Selene setapinnis","actinopterygii","Atlantic moonfish"
"4292","Selene vomer","actinopterygii","Lookdown"
"4293","Semaprochilodus taeniurus","actinopterygii","Silver prochilodus"
"4294","Semnopithecus entellus","mammalia","Northern Plains gray langur / Bengal hanuman langur"
"4295","Semotilus atromaculatus","actinopterygii","Creek chub"
"4296","Semotilus corporalis","actinopterygii","Fallfish"
"4297","Sephanoides fernandensis","aves","Juan Fernandez firecrown"
"4298","Sephanoides sephaniodes","aves","Green-backed firecrown"
"4299","Sericornis frontalis","aves","White-browed scrubwren"
"4300","Sericornis magnirostra","aves","Large-billed scrubwren"
"4301","Serinus serinus","aves","European serin"
"4302","Seriola dumerili","actinopterygii","Greater amberjack"
"4303","Seriola rivoliana","actinopterygii","Longfin yellowtail"
"4304","Seriphus politus","actinopterygii","Queen croaker"
"4305","Serpophaga subcristata","aves","White-crested tyrannulet"
"4306","Serranus baldwini","actinopterygii","Lantern bass"
"4307","Serranus cabrilla","actinopterygii","Comber"
"4308","Serranus scriba","actinopterygii","Painted comber"
"4309","Serranus tabacarius","actinopterygii","Tobaccofish"
"4310","Serranus tigrinus","actinopterygii","Harlequin bass"
"4311","Serranus tortugarum","actinopterygii","Chalk bass"
"4312","Serrapinnus notomelas","actinopterygii","No common name"
"4313","Serrasalmus maculatus","actinopterygii","No common name"
"4314","Serrasalmus marginatus","actinopterygii","No common name"
"4315","Serrasalmus spilopleura","actinopterygii","Speckled piranha"
"4316","Serrivomer beanii","actinopterygii","Stout sawpalate"
"4317","Setonix brachyurus","mammalia","Quokka"
"4318","Setophaga americana","aves","Northern parula"
"4319","Setophaga caerulescens","aves","Black-throated blue warbler"
"4320","Setophaga castanea","aves","Bay-breasted warbler"
"4321","Setophaga cerulea","aves","Cerulean warbler"
"4322","Setophaga citrina","aves","Hooded warbler"
"4323","Setophaga coronata","aves","Myrtle warbler"
"4324","Setophaga discolor","aves","Prairie warbler"
"4325","Setophaga dominica","aves","Yellow-throated warbler"
"4326","Setophaga fusca","aves","Blackburnian warbler"
"4327","Setophaga graciae","aves","Grace's warbler"
"4328","Setophaga kirtlandii","aves","Kirtland's warbler"
"4329","Setophaga magnolia","aves","Magnolia warbler"
"4330","Setophaga nigrescens","aves","Black-throated grey warbler"
"4331","Setophaga occidentalis","aves","Hermit warbler"
"4332","Setophaga palmarum","aves","Palm warbler"
"4333","Setophaga pensylvanica","aves","Chestnut-sided warbler"
"4334","Setophaga petechia","aves","American yellow warbler"
"4335","Setophaga pinus","aves","Pine warbler"
"4336","Setophaga ruticilla","aves","American redstart"
"4337","Setophaga striata","aves","Blackpoll warbler"
"4338","Setophaga tigrina","aves","Cape may warbler"
"4339","Setophaga townsendi","aves","Townsend's warbler"
"4340","Setophaga virens","aves","Black-throated green warbler"
"4341","Sialia currucoides","aves","Mountain bluebird"
"4342","Sialia mexicana","aves","Western bluebird"
"4343","Sialia sialis","aves","Eastern bluebird"
"4344","Sibirionetta formosa","aves","Baikal teal"
"4345","Siganus doliatus","actinopterygii","Barred spinefoot"
"4346","Siganus fuscescens","actinopterygii","Mottled spinefoot"
"4347","Siganus lineatus","actinopterygii","Golden-lined spinefoot"
"4348","Silhouettea sibayi","actinopterygii","Barebreast goby"
"4349","Sillago ciliata","actinopterygii","Golden-lined sillago"
"4350","Sillago maculata","actinopterygii","Trumpeter sillago"
"4351","Sillago sihama","actinopterygii","Silver sillago"
"4352","Silurus glanis","actinopterygii","Wels catfish"
"4353","Silverstoneia flotator","amphibia","Rainforest rocket frog"
"4354","Simenchelys parasitica","actinopterygii","Snubnosed eel"
"4355","Siren intermedia","amphibia","Lesser siren / Western lesser siren"
"4356","Sistrurus catenatus","reptilia","Eastern massasauga"
"4357","Sistrurus miliarius","reptilia","Pygmy rattlesnake"
"4358","Sitta canadensis","aves","Red-breasted nuthatch"
"4359","Sitta carolinensis","aves","White-breasted nuthatch"
"4360","Sitta europaea","aves","Eurasian nuthatch"
"4361","Sitta pusilla","aves","Brown-headed nuthatch"
"4362","Sitta pygmaea","aves","Pygmy nuthatch"
"4363","Sittasomus griseicapillus","aves","Eastern olivaceous woodcreeper"
"4364","Smilisca baudinii","amphibia","Mexican treefrog"
"4365","Smilisca phaeota","amphibia","New Granada cross-banded treefrog"
"4366","Sminthopsis bindi","mammalia","Kakadu dunnart"
"4367","Sminthopsis virginiae","mammalia","Red-cheeked dunnart"
"4368","Solea solea","actinopterygii","Common sole"
"4369","Somateria fischeri","aves","Spectacled eider"
"4370","Somateria mollissima","aves","Common eider"
"4371","Somateria spectabilis","aves","King eider"
"4372","Somniosus microcephalus","chondrichthyes","Greenland shark"
"4373","Somniosus pacificus","chondrichthyes","Pacific sleeper shark"
"4374","Sooglossus sechellensis","amphibia","Seychelles frog"
"4375","Sooretamys angouya","mammalia","Paraguayan rice rat"
"4376","Sorex araneus","mammalia","Common shrew"
"4377","Sorex bendirii","mammalia","Marsh shrew"
"4378","Sorex caecutiens","mammalia","Laxmann's masked shrew"
"4379","Sorex cinereus","mammalia","Masked shrew"
"4380","Sorex daphaenodon","mammalia","Siberian large-toothed shrew"
"4381","Sorex isodon","mammalia","Equal-toothed shrew"
"4382","Sorex minutissimus","mammalia","Asian shrew / Least shrew / Siberian shrew"
"4383","Sorex minutus","mammalia","Pygmy shrew / Lesser shrew"
"4384","Sorex monticolus","mammalia","Dusky shrew / Montane shrew"
"4385","Sorex roboratus","mammalia","Brown shrew"
"4386","Sorex trowbridgii","mammalia","Trowbridge's shrew"
"4387","Sorex tundrensis","mammalia","Tundra shrew"
"4388","Sorex vagrans","mammalia","Vagrant shrew"
"4389","Sotalia fluviatilis","mammalia","Guiana dolphin / Tucuxi"
"4390","Sotalia guianensis","mammalia","Guiana dolphin"
"4391","Sousa chinensis","mammalia","Indo-Pacific humpbacked dolphin"
"4392","Sparisoma amplum","actinopterygii","Reef parrotfish"
"4393","Sparisoma atomarium","actinopterygii","Greenblotch parrotfish"
"4394","Sparisoma aurofrenatum","actinopterygii","Redband parrotfish"
"4395","Sparisoma axillare","actinopterygii","Gray parrotfish"
"4396","Sparisoma chrysopterum","actinopterygii","Redtail parrotfish"
"4397","Sparisoma cretense","actinopterygii","Parrotfish"
"4398","Sparisoma radians","actinopterygii","Bucktooth parrotfish"
"4399","Sparisoma rubripinne","actinopterygii","Redfin parrotfish"
"4400","Sparisoma viride","actinopterygii","Stoplight parrotfish"
"4401","Sparodon durbanensis","actinopterygii","Musselcracker seabream"
"4402","Sparus aurata","actinopterygii","Silver seabream"
"4403","Sparus aurata","actinopterygii","Gilthead seabream"
"4404","Spatula clypeata","aves","Northern shoveler"
"4405","Spatula cyanoptera","aves","Cinnamon teal"
"4406","Spatula discors","aves","Blue-winged teal"
"4407","Spatula querquedula","aves","Garganey"
"4408","Spermophilus citellus","mammalia","European ground squirrel"
"4409","Urocitellus undulatus","mammalia","Long-tailed ground squirrel"
"4410","Sphecotheres viridis","aves","Timor figbird"
"4411","Spheniscus demersus","aves","African penguin"
"4412","Spheniscus humboldti","aves","Humboldt penguin"
"4413","Spheniscus magellanicus","aves","Magellanic penguin"
"4414","Spheniscus mendiculus","aves","Galapagos penguin"
"4415","Sphenodon punctatus","reptilia","Tuatara"
"4416","Sphoeroides maculatus","actinopterygii","Northern puffer"
"4417","Sphoeroides spengleri","actinopterygii","Bandtail puffer"
"4418","Sphoeroides testudineus","actinopterygii","Checkered puffer"
"4419","Sphyraena barracuda","actinopterygii","Great barracuda"
"4420","Sphyraena borealis","actinopterygii","Northern sennet"
"4421","Sphyrapicus nuchalis","aves","Red-naped sapsucker"
"4422","Sphyrapicus ruber","aves","Red-breasted sapsucker"
"4423","Sphyrapicus thyroideus","aves","Williamson's sapsucker"
"4424","Sphyrapicus varius","aves","Yellow-bellied sapsucker"
"4425","Sphyrna lewini","chondrichthyes","Scalloped hammerhead"
"4426","Sphyrna mokarran","chondrichthyes","Great hammerhead"
"4427","Sphyrna tiburo","chondrichthyes","Bonnethead shark"
"4428","Sphyrna zygaena","chondrichthyes","Smooth hammerhead"
"4429","Spicara maena","actinopterygii","Blotched picarel"
"4430","Spicara smaris","actinopterygii","Picarel"
"4431","Spinus lawrencei","aves","Lawrence's goldfinch"
"4432","Spinus pinus","aves","Pine siskin"
"4433","Spinus psaltria","aves","Lesser goldfinch"
"4434","Spinus spinus","aves","Eurasian siskin"
"4435","Spinus tristis","aves","American goldfinch"
"4436","Spirinchus thaleichthys","actinopterygii","Longfin smelt"
"4437","Spiza americana","aves","Dickcissel"
"4438","Spizaetus ornatus","aves","Ornate hawk-eagle"
"4439","Spizella atrogularis","aves","Black-chinned sparrow"
"4440","Spizella breweri","aves","Brewer's sparrow"
"4441","Spizella pallida","aves","Clay-colored sparrow"
"4442","Spizella passerina","aves","Chipping sparrow"
"4443","Spizella pusilla","aves","Field sparrow"
"4444","Spondyliosoma emarginatum","actinopterygii","Steentjie seabream"
"4445","Sporophila caerulescens","aves","Double-collared seedeater"
"4446","Sporophila torqueola","aves","Cinnamon-rumped seedeater"
"4447","Sprattus fuegensis","actinopterygii","Falkland sprat"
"4448","Sprattus sprattus","actinopterygii","European sprat"
"4449","Squalius cephalus","actinopterygii","Chub"
"4450","Squalius laietanus","actinopterygii","No common name"
"4451","Squalius pyrenaicus","actinopterygii","No common name"
"4452","Squalus acanthias","chondrichthyes","Picked dogfish"
"4453","Squalus suckleyi","chondrichthyes","Pacific spiny dogfish"
"4454","Squatina guggenheim","chondrichthyes","Angular angel shark"
"4455","Steganopus tricolor","aves","Wilson's phalarope"
"4456","Stegastes adustus","actinopterygii","Dusky damselfish"
"4457","Stegastes diencaeus","actinopterygii","Longfin damselfish"
"4458","Stegastes fasciolatus","actinopterygii","Pacific gregory"
"4459","Stegastes leucostictus","actinopterygii","Beaugregory"
"4460","Stegastes partitus","actinopterygii","Bicolor damselfish"
"4461","Stegastes planifrons","actinopterygii","Threespot damselfish"
"4462","Stegastes xanthurus","actinopterygii","Cocoa damselfish"
"4463","Stegonotus cucullatus","reptilia","Slatey-grey snake"
"4464","Steindachnerina insculpta","actinopterygii","No common name"
"4465","Stelgidopteryx ruficollis","aves","Southern rough-winged swallow"
"4466","Stelgidopteryx serripennis","aves","Northern rough-winged swallow"
"4467","Stellifer lanceolatus","actinopterygii","American stardrum"
"4468","Stenella attenuata","mammalia","Spotted dolphin"
"4469","Stenella coeruleoalba","mammalia","Striped dolphin"
"4470","Stenella longirostris","mammalia","Eastern spinner dolphin"
"4471","Stenobrachius leucopsarus","actinopterygii","Northern lampfish"
"4472","Stenobrachius nannochir","actinopterygii","Garnet lanternfish"
"4473","Stenodus leucichthys","actinopterygii","Inconnu / Sheefish"
"4474","Stenotomus chrysops","actinopterygii","Scup"
"4475","Stercorarius longicaudus","aves","Long-tailed jaeger / Long-tailed skua"
"4476","Stercorarius parasiticus","aves","Arctic jaeger"
"4477","Stercorarius pomarinus","aves","Pomarine jaeger / Pomarine skua"
"4478","Stereolepis gigas","actinopterygii","Giant sea bass"
"4479","Sterna aurantia","aves","River tern"
"4480","Sterna dougallii","aves","Roseate tern"
"4481","Sterna forsteri","aves","Forster's tern"
"4482","Sterna hirundinacea","aves","South american tern"
"4483","Sterna hirundo","aves","Common tern"
"4484","Sterna paradisaea","aves","Arctic tern"
"4485","Sterna repressa","aves","White-cheeked tern"
"4486","Sterna striata","aves","White-fronted tern"
"4487","Sterna sumatrana","aves","Black-naped tern"
"4488","Sterna trudeaui","aves","Snowy-crowned tern"
"4489","Sterna vittata","aves","Antarctic tern"
"4490","Sternopygus macrurus","actinopterygii","Longtail knifefish"
"4491","Sternotherus minor","reptilia","Loggerhead musk turtle"
"4492","Sternotherus odoratus","reptilia","Common musk turtle / Eastern musk turtle"
"4493","Sternula albifrons","aves","Little tern"
"4494","Sternula antillarum","aves","Least tern"
"4495","Sternula balaenarum","aves","Damara tern"
"4496","Sternula nereis","aves","Fairy tern"
"4497","Sternula superciliaris","aves","Yellow-billed tern"
"4498","Stethojulis bandanensis","actinopterygii","Red shoulder wrasse / Red-spot rainbowfish"
"4499","Stethojulis terina","actinopterygii","Kaminaribera"
"4500","Stipiturus mallee","aves","Mallee emu-wren"
"4501","Stolothrissa tanganicae","actinopterygii","Lake tanganyika sprat"
"4502","Stomias boa","actinopterygii","Boa dragonfish"
"4503","Storeria dekayi","reptilia","Northern brown snake / Brownsnake"
"4504","Strabomantis biporcatus","amphibia","Puerto Cabello robber frog"
"4505","Strabomantis bufoniformis","amphibia","Rusty robber frog"
"4506","Strangomera bentincki","actinopterygii","Araucanian herring"
"4507","Strepera graculina","aves","Pied currawong"
"4508","Strepera versicolor","aves","Grey currawong"
"4509","Streptopelia bitorquata","aves","Sunda collared-dove"
"4510","Streptopelia decaocto","aves","Eurasian collared-dove"
"4511","Streptopelia orientalis","aves","Oriental turtle-dove"
"4512","Streptopelia turtur","aves","European turtle-dove"
"4513","Strix aluco","aves","Tawny owl"
"4514","Strix nebulosa","aves","Great grey owl"
"4515","Strix occidentalis","aves","Spotted owl"
"4516","Strix uralensis","aves","Ural owl"
"4517","Strix varia","aves","Barred owl"
"4518","Stromateus brasiliensis","actinopterygii","Southwest Atlantic butterfish"
"4519","Strongylura krefftii","actinopterygii","Long tom"
"4520","Strongylura leiura","actinopterygii","Banded needlefish"
"4521","Strongylura marina","actinopterygii","Atlantic needlefish"
"4522","Struthio camelus","aves","Common ostrich"
"4523","Sturnella magna","aves","Eastern meadowlark"
"4524","Sturnella neglecta","aves","Western meadowlark"
"4525","Sturnus unicolor","aves","Spotless starling"
"4526","Sturnus vulgaris","aves","Common starling"
"4527","Sula dactylatra","aves","Masked booby"
"4528","Sula leucogaster","aves","Brown booby"
"4529","Sula nebouxii","aves","Blue-footed booby"
"4530","Sula sula","aves","Red-footed booby"
"4531","Suncus murinus","mammalia","House shrew"
"4532","Sundamys muelleri","mammalia","Müller's sundamys"
"4533","Surnia ulula","aves","Northern hawk-owl"
"4534","Sus scrofa","mammalia","Wild boar / Wild pig"
"4535","Sylvia atricapilla","aves","Eurasian blackcap"
"4536","Sylvia borin","aves","Garden warbler"
"4537","Sylvia cantillans","aves","Subalpine warbler"
"4538","Sylvia communis","aves","Common whitethroat"
"4539","Sylvia conspicillata","aves","Spectacled warbler"
"4540","Sylvia curruca","aves","Lesser whitethroat"
"4541","Sylvia hortensis","aves","Western orphean warbler"
"4542","Sylvia melanocephala","aves","Sardinian warbler"
"4543","Sylvia melanothorax","aves","Cyprus warbler"
"4544","Sylvia nisoria","aves","Barred warbler"
"4545","Sylvia undata","aves","Dartford warbler"
"4546","Sylvicapra grimmia","mammalia","Common duiker / Grey duiker"
"4547","Sylvilagus nuttallii","mammalia","Mountain cottontail"
"4548","Symphodus cinereus","actinopterygii","Grey wrasse"
"4549","Symphodus doderleini","actinopterygii","No common name"
"4550","Symphodus mediterraneus","actinopterygii","Axillary wrasse"
"4551","Symphodus melanocercus","actinopterygii","Blacktailed wrasse"
"4552","Symphodus ocellatus","actinopterygii","Ocellated wrasse"
"4553","Symphodus roissali","actinopterygii","Five-spotted wrasse"
"4554","Symphodus tinca","actinopterygii","East Atlantic peacock wrasse"
"4555","Symposiachrus trivirgatus","aves","Spectacled monarch"
"4556","Synallaxis frontalis","aves","Sooty-fronted spinetail"
"4557","Synallaxis ruficapilla","aves","Rufous-capped spinetail"
"4558","Synallaxis spixi","aves","Spix's spinetail"
"4559","Synaphobranchus kaupii","actinopterygii","Kaup's arrowtooth eel"
"4560","Synaptomys borealis","mammalia","Northern bog lemming"
"4561","Syncerus caffer","mammalia","African buffalo / Cape buffalo"
"4562","Syngnathus folletti","actinopterygii","Aguja"
"4563","Syngnathus fuscus","actinopterygii","Northern pipefish"
